mouse_moves,mouse_clicks,keystrokes,scrolls,time_spent,label
350,28,85,22,450,0
420,35,120,30,520,0
280,22,65,18,380,0
395,30,95,25,490,0
310,25,78,20,420,0
45,3,8,2,65,1
32,2,5,1,42,1
58,4,12,3,78,1
29,2,4,1,35,1
63,5,10,2,71,1
365,29,88,23,460,0
275,21,62,17,365,0
410,33,115,28,510,0
330,26,80,21,430,0
290,23,70,19,395,0
37,3,7,1,48,1
52,4,9,2,60,1
41,2,6,1,39,1
66,5,11,3,82,1
34,2,5,1,30,1
380,31,92,24,475,0
300,24,72,20,410,0
430,34,125,32,530,0
355,28,86,22,455,0
265,20,60,16,350,0
48,3,8,2,55,1
25,1,3,0,28,1
70,6,13,4,85,1
39,3,7,1,44,1
54,4,10,2,66,1
315,25,77,20,425,0
400,32,105,27,500,0
285,22,68,19,390,0
370,29,90,23,470,0
335,26,82,21,440,0
44,3,7,2,58,1
67,5,12,3,80,1
31,2,5,1,40,1
59,4,11,3,75,1
38,3,6,1,46,1
325,26,79,21,435,0
385,30,98,26,495,0
295,23,71,19,400,0
360,28,87,22,465,0
305,24,73,20,415,0
51,4,9,2,62,1
36,2,6,1,43,1
72,6,14,4,88,1
42,3,8,1,50,1
65,5,11,3,79,1
340,27,83,21,445,0
390,31,100,26,505,0
275,21,63,17,370,0
415,33,110,29,515,0
320,25,76,20,428,0
46,3,8,2,56,1
33,2,5,1,41,1
60,4,11,3,73,1
27,2,4,1,32,1
68,5,12,3,81,1
330,26,80,21,432,0
405,32,102,27,508,0
288,22,69,19,392,0
375,29,93,24,480,0
298,23,72,19,398,0
49,3,8,2,57,1
35,2,6,1,44,1
74,6,15,4,90,1
40,3,7,1,47,1
62,5,10,2,76,1
345,27,84,22,448,0
395,31,97,25,498,0
310,24,75,20,418,0
425,34,118,30,525,0
285,22,67,18,388,0
43,3,7,2,54,1
30,2,5,1,37,1
55,4,10,2,68,1
26,2,4,1,31,1
69,5,12,3,83,1
335,26,81,21,438,0
410,33,108,28,512,0
292,23,70,19,395,0
365,28,89,23,472,0
302,24,74,20,408,0
47,3,8,2,59,1
34,2,6,1,45,1
61,4,11,3,74,1
28,2,4,1,33,1
71,6,13,4,86,1
328,26,79,21,434,0
400,32,103,27,506,0
287,22,68,19,391,0
378,29,94,24,482,0
296,23,71,19,397,0
50,3,9,2,61,1
36,2,6,1,42,1
64,5,11,3,77,1
41,3,7,1,49,1
57,4,10,2,70,1
342,27,82,21,442,0
408,33,106,28,518,0
289,22,69,19,393,0
372,29,91,23,478,0
299,23,72,19,399,0
44,3,8,2,53,1
32,2,5,1,39,1
58,4,11,3,72,1
24,2,4,1,29,1
67,5,12,3,80,1
337,27,83,21,441,0
402,32,104,27,509,0
283,22,66,18,387,0
368,28,88,23,474,0
294,23,70,19,396,0
46,3,8,2,55,1
33,2,6,1,40,1
63,5,11,3,78,1
39,3,7,1,46,1
56,4,10,2,69,1
332,26,80,21,436,0
398,31,101,26,504,0
291,23,69,19,394,0
362,28,86,22,468,0
301,24,73,20,412,0
45,3,8,2,54,1
31,2,5,1,38,1
59,4,11,3,71,1
25,2,4,1,30,1
66,5,12,3,79,1
325,26,78,20,430,0
395,30,96,25,496,0
286,22,67,18,389,0
358,28,85,22,463,0
297,23,71,19,401,0
43,3,7,2,52,1
29,2,5,1,36,1
54,4,10,2,67,1
22,1,3,0,26,1
65,5,11,3,75,1
340,27,82,21,444,0
412,33,109,29,521,0
293,23,70,19,397,0
366,28,87,22,469,0
304,24,74,20,414,0
48,3,8,2,60,1
35,2,6,1,43,1
62,5,11,3,76,1
40,3,7,1,48,1
55,4,10,2,68,1
330,26,79,21,432,0
404,32,105,27,511,0
284,22,66,18,386,0
376,29,92,24,484,0
295,23,71,19,402,0
42,3,7,2,51,1
30,2,5,1,37,1
57,4,10,2,70,1
23,2,4,1,27,1
64,5,11,3,74,1
335,26,81,21,439,0
406,33,107,28,516,0
288,22,68,19,390,0
370,29,90,23,476,0
298,23,72,19,400,0
47,3,8,2,58,1
34,2,6,1,44,1
61,4,11,3,73,1
38,3,7,1,45,1
53,4,9,2,65,1
328,26,80,21,435,0
398,31,102,26,507,0
289,22,69,19,392,0
364,28,88,23,471,0
300,24,73,20,416,0
44,3,8,2,53,1
32,2,5,1,39,1
60,4,11,3,72,1
26,2,4,1,31,1
68,5,12,3,82,1
333,27,81,21,440,0
410,33,110,29,522,0
292,23,70,19,395,0
368,28,89,23,473,0
303,24,74,20,417,0
49,3,9,2,62,1
36,2,6,1,42,1
63,5,11,3,77,1
41,3,7,1,49,1
58,4,10,2,71,1
327,26,79,21,433,0
